Macrotrends Data Download

Industrial Production - 100 Year Historical Chart

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1919-01-01,5.059
1919-02-01,4.835
1919-03-01,4.695
1919-04-01,4.779
1919-05-01,4.807
1919-06-01,5.114
1919-07-01,5.422
1919-08-01,5.506
1919-09-01,5.394
1919-10-01,5.338
1919-11-01,5.254
1919-12-01,5.338
1920-01-01,5.841
1920-02-01,5.841
1920-03-01,5.729
1920-04-01,5.422
1920-05-01,5.562
1920-06-01,5.617
1920-07-01,5.478
1920-08-01,5.506
1920-09-01,5.310
1920-10-01,5.086
1920-11-01,4.667
1920-12-01,4.388
1921-01-01,4.136
1921-02-01,4.052
1921-03-01,3.941
1921-04-01,3.941
1921-05-01,4.052
1921-06-01,4.024
1921-07-01,3.997
1921-08-01,4.136
1921-09-01,4.164
1921-10-01,4.416
1921-11-01,4.360
1921-12-01,4.332
1922-01-01,4.500
1922-02-01,4.695
1922-03-01,4.947
1922-04-01,4.779
1922-05-01,5.031
1922-06-01,5.282
1922-07-01,5.282
1922-08-01,5.170
1922-09-01,5.450
1922-10-01,5.757
1922-11-01,6.009
1922-12-01,6.176
1923-01-01,6.037
1923-02-01,6.121
1923-03-01,6.316
1923-04-01,6.456
1923-05-01,6.540
1923-06-01,6.484
1923-07-01,6.428
1923-08-01,6.316
1923-09-01,6.176
1923-10-01,6.148
1923-11-01,6.148
1923-12-01,6.009
1924-01-01,6.148
1924-02-01,6.260
1924-03-01,6.148
1924-04-01,5.953
1924-05-01,5.701
1924-06-01,5.450
1924-07-01,5.366
1924-08-01,5.562
1924-09-01,5.757
1924-10-01,5.897
1924-11-01,6.009
1924-12-01,6.176
1925-01-01,6.372
1925-02-01,6.372
1925-03-01,6.372
1925-04-01,6.428
1925-05-01,6.400
1925-06-01,6.344
1925-07-01,6.512
1925-08-01,6.400
1925-09-01,6.316
1925-10-01,6.568
1925-11-01,6.707
1925-12-01,6.791
1926-01-01,6.679
1926-02-01,6.679
1926-03-01,6.763
1926-04-01,6.763
1926-05-01,6.707
1926-06-01,6.791
1926-07-01,6.819
1926-08-01,6.903
1926-09-01,7.015
1926-10-01,7.015
1926-11-01,6.987
1926-12-01,6.959
1927-01-01,6.931
1927-02-01,6.987
1927-03-01,7.071
1927-04-01,6.903
1927-05-01,6.959
1927-06-01,6.931
1927-07-01,6.847
1927-08-01,6.847
1927-09-01,6.735
1927-10-01,6.596
1927-11-01,6.596
1927-12-01,6.624
1928-01-01,6.763
1928-02-01,6.819
1928-03-01,6.875
1928-04-01,6.847
1928-05-01,6.931
1928-06-01,6.987
1928-07-01,7.071
1928-08-01,7.210
1928-09-01,7.266
1928-10-01,7.406
1928-11-01,7.546
1928-12-01,7.686
1929-01-01,7.797
1929-02-01,7.769
1929-03-01,7.797
1929-04-01,7.937
1929-05-01,8.077
1929-06-01,8.133
1929-07-01,8.245
1929-08-01,8.161
1929-09-01,8.105
1929-10-01,7.965
1929-11-01,7.574
1929-12-01,7.238
1930-01-01,7.238
1930-02-01,7.210
1930-03-01,7.099
1930-04-01,7.043
1930-05-01,6.931
1930-06-01,6.735
1930-07-01,6.428
1930-08-01,6.288
1930-09-01,6.176
1930-10-01,6.009
1930-11-01,5.869
1930-12-01,5.729
1931-01-01,5.701
1931-02-01,5.729
1931-03-01,5.841
1931-04-01,5.869
1931-05-01,5.785
1931-06-01,5.645
1931-07-01,5.562
1931-08-01,5.366
1931-09-01,5.114
1931-10-01,4.919
1931-11-01,4.863
1931-12-01,4.835
1932-01-01,4.695
1932-02-01,4.583
1932-03-01,4.528
1932-04-01,4.220
1932-05-01,4.080
1932-06-01,3.941
1932-07-01,3.829
1932-08-01,3.941
1932-09-01,4.192
1932-10-01,4.332
1932-11-01,4.332
1932-12-01,4.248
1933-01-01,4.164
1933-02-01,4.192
1933-03-01,3.941
1933-04-01,4.220
1933-05-01,4.919
1933-06-01,5.673
1933-07-01,6.204
1933-08-01,5.953
1933-09-01,5.617
1933-10-01,5.338
1933-11-01,5.031
1933-12-01,5.059
1934-01-01,5.226
1934-02-01,5.478
1934-03-01,5.729
1934-04-01,5.729
1934-05-01,5.841
1934-06-01,5.729
1934-07-01,5.338
1934-08-01,5.282
1934-09-01,4.975
1934-10-01,5.174
1934-11-01,5.229
1934-12-01,5.563
1935-01-01,6.008
1935-02-01,6.119
1935-03-01,6.092
1935-04-01,5.980
1935-05-01,5.980
1935-06-01,6.064
1935-07-01,6.064
1935-08-01,6.286
1935-09-01,6.453
1935-10-01,6.648
1935-11-01,6.787
1935-12-01,6.870
1936-01-01,6.759
1936-02-01,6.592
1936-03-01,6.676
1936-04-01,7.093
1936-05-01,7.232
1936-06-01,7.371
1936-07-01,7.510
1936-08-01,7.621
1936-09-01,7.761
1936-10-01,7.872
1936-11-01,8.094
1936-12-01,8.345
1937-01-01,8.317
1937-02-01,8.428
1937-03-01,8.623
1937-04-01,8.623
1937-05-01,8.651
1937-06-01,8.539
1937-07-01,8.595
1937-08-01,8.539
1937-09-01,8.261
1937-10-01,7.649
1937-11-01,6.898
1937-12-01,6.286
1938-01-01,6.147
1938-02-01,6.092
1938-03-01,6.092
1938-04-01,5.980
1938-05-01,5.841
1938-06-01,5.897
1938-07-01,6.231
1938-08-01,6.565
1938-09-01,6.759
1938-10-01,6.926
1938-11-01,7.204
1938-12-01,7.288
1939-01-01,7.288
1939-02-01,7.343
1939-03-01,7.371
1939-04-01,7.343
1939-05-01,7.316
1939-06-01,7.482
1939-07-01,7.705
1939-08-01,7.816
1939-09-01,8.289
1939-10-01,8.706
1939-11-01,8.929
1939-12-01,8.929
1940-01-01,8.818
1940-02-01,8.539
1940-03-01,8.345
1940-04-01,8.512
1940-05-01,8.762
1940-06-01,9.040
